ID,Attiva,Modalità attività,Nome,Durata,Inizio,Fine,Predecessori,Livello struttura,Note
1,Sì,Programmazione manuale,Analisi,6 g,12 settembre 2025 09:00,19 settembre 2025 18:00,,1,
2,Sì,Programmazione automatica,Analisi del dominio,2 g,12 settembre 2025 09:00,15 settembre 2025 18:00,,2,
3,Sì,Programmazione automatica,Analisi dei requisiti,2 g,15 settembre 2025 09:00,16 settembre 2025 18:00,,2,
4,Sì,Programmazione automatica,Use case,2 g,18 settembre 2025 09:00,19 settembre 2025 18:00,3,2,
5,Sì,Programmazione manuale,Progettazione,11 g,26 settembre 2025 09:00,10 ottobre 2025 18:00,,1,
6,Sì,Programmazione automatica,Gantt,6 g,03 ottobre 2025 09:00,10 ottobre 2025 18:00,,2,
7,Sì,Programmazione manuale,Mock up,6 g,03 ottobre 2025 09:00,10 ottobre 2025 18:00,,2,
8,Sì,Programmazione manuale,Diagrama di flusso,6 g,03 ottobre 2025 09:00,10 ottobre 2025 18:00,,2,
9,Sì,Programmazione manuale,Implementazione,41 g,17 ottobre 2025 09:00,12 dicembre 2025 18:00,,1,
10,Sì,Programmazione manuale,Connezione a API di spotify,1 g,17 ottobre 2025 09:00,17 ottobre 2025 18:00,,2,
11,Sì,Programmazione manuale,Pagina di login,1 g,10 ottobre 2025 09:00,10 ottobre 2025 18:00,,2,
12,Sì,Programmazione manuale,Pagina principale,16 g,10 ottobre 2025 09:00,31 ottobre 2025 18:00,,2,
13,Sì,Programmazione manuale,Creazione interfaccia base,1 g,11 ottobre 2025 09:00,11 ottobre 2025 18:00,,3,
14,Sì,Programmazione manuale,Creazione del buttone Home,1 g,11 ottobre 2025 09:00,11 ottobre 2025 18:00,,3,
15,Sì,Programmazione manuale,Creazione della sbarra ricerca,1 g,12 ottobre 2025 09:00,12 ottobre 2025 18:00,,3,
16,Sì,Programmazione manuale,Visualizzare i brani e album,1 g,12 ottobre 2025 09:00,12 ottobre 2025 18:00,,3,
17,Sì,Programmazione manuale,Creazione la sbarra delle funzionalità (partire/fermare la canzone),1 g,17 ottobre 2025 09:00,17 ottobre 2025 18:00,,3,
18,Sì,Programmazione manuale,Libreria personale,6 g,18 ottobre 2025 09:00,24 ottobre 2025 18:00,,3,
19,Sì,Programmazione manuale,Creazione del scroll list,6 g,18 ottobre 2025 09:00,24 ottobre 2025 18:00,,4,
20,Sì,Programmazione manuale,Visualizzare i playlist personali,6 g,18 ottobre 2025 09:00,24 ottobre 2025 18:00,,4,
21,Sì,Programmazione manuale,Pagina del playlist,6 g,24 ottobre 2025 09:00,31 ottobre 2025 18:00,,4,
22,Sì,Programmazione manuale,Creazione interfaccia,6 g,24 ottobre 2025 09:00,31 ottobre 2025 18:00,,5,
23,Sì,Programmazione manuale,Visualizzazione dei brani del playlist,6 g,24 ottobre 2025 09:00,31 ottobre 2025 18:00,,5,
24,Sì,Programmazione manuale,Documentazione,3 g,05 dicembre 2025 09:00,09 dicembre 2025 18:00,,1,
25,Sì,Programmazione manuale,Documentare il proggetto,3 g,05 dicembre 2025 09:00,09 dicembre 2025 18:00,,2,
